category1_code,category2_code,product_code,title,imageurl,price_eur,title_cleaned
FASHION,HANDBAGS,PAS4152B13455,Tweed & goldfarbenes Metall  Schwarz  Rosa & Bordeaux,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/mini-flap-bag-black-pink-burgundy-tweed-gold-tone-metal-tweed-gold-tone-metal-packshot-artistique-vue2-as4152b13455no249-9524212989982.jpg",5200.0,tweed & goldfarbenes metall schwarz rosa & bordeaux
FASHION,HANDBAGS,PA67085Y09953,n.a.,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/n.a.",5750.0,
EYEWEAR,BLUE LIGHT GLASSES,PA71441,Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/butterfly-blue-light-glasses-black-acetate-acetate-packshot-default-a71441x08101s2212-8853207154718.jpg",420.0,schwarz
EYEWEAR,SUNGLASSES,PA71449,Silberfarben. Gläser: Braun  Mit Verlauf,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-sunglasses-silver-titanium-titanium-packshot-default-a71449x09950l2413-8853170782238.jpg",580.0,silberfarben gläser braun mit verlauf
EYEWEAR,SUNGLASSES,PA71466,Blau & Rosa. Gläser: Grau  Mit Verlauf,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/shield-sunglasses-blue-pink-acetate-acetate-packshot-default-a71466x01081s8561-8850450087966.jpg",480.0,blau & rosa gläser grau mit verlauf
EYEWEAR,SUNGLASSES,PA71481,Schwarz. Gläser: Grau  Mit Verlauf,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-sunglasses-black-acetate-calfskin-acetate-calfskin-packshot-default-a71481x02123s2216-8857337397278.jpg",620.0,schwarz gläser grau mit verlauf
EYEWEAR,SUNGLASSES,PA71537,Rosa & Weiß. Gläser: Rosa,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/shield-sunglasses-pink-white-metal-metal-packshot-default-a71537x01060l3740-9523160481822.jpg",550.0,rosa & weiß gläser rosa
EYEWEAR,SUNGLASSES,PA71560,Silberfarben. Gläser: Bordeaux,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/rectangle-sunglasses-silver-metal-metal-packshot-default-a71560x01060l2508-9528856707102.jpg",440.0,silberfarben gläser bordeaux
JEWELRY,RINGS,PJ10213,18 Karat Weißgold  Diamanten  Zuchtperlen,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/comete-perlee-ring-white-gold-diamond-pearl-packshot-default-j10213-9528987746334.jpg",17900.0,18 karat weißgold diamanten zuchtperlen
JEWELRY,COCO CRUSH,PJ10572,Steppmotiv  18 Karat Gelbgold,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-cuff-yellow-gold-packshot-default-j10572-9528002543646.jpg",27300.0,steppmotiv 18 karat gelbgold
JEWELRY,COCO CRUSH,PJ10574,Steppmotiv  großes Modell  18 Karat Gelbgold,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-yellow-yellow-gold-packshot-default-j10574-9527970168862.jpg",4010.0,steppmotiv großes modell 18 karat gelbgold
JEWELRY,COCO CRUSH,PJ10864,Steppmotiv  kleines Modell  18 Karat Gelbgold  Diamanten,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-yellow-diamond-yellow-gold-packshot-default-j10864-9535026331678.jpg",5350.0,steppmotiv kleines modell 18 karat gelbgold diamanten
EYEWEAR,EYEGLASSES,PA75192,Goldfarben,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/round-eyeglasses-gold-metal-metal-packshot-default-a75192x01060v3395-8853974581278.jpg",460.0,goldfarben
EYEWEAR,EYEGLASSES,PA75270,Schwarz,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-eyeglasses-black-acetate-acetate-packshot-default-a75270x01081v3622-9518592950302.jpg",430.0,schwarz
